id,title,releaseDate,rating,genres,description,duration,tagline,metascore,metascore_count,metascore_sentiment,userscore,userscore_count,userscore_sentiment,production_companies,director,writer,top_cast
2000545497,Dekalog (1988),1996-03-22,TV-MA,Drama,"This masterwork by Krzysztof Kieślowski is one of the twentieth century’s greatest achievements in visual storytelling. Originally made for Polish television, Dekalog focuses on the residents of a housing complex in late-Communist Poland, whose lives become subtly intertwined as they face emotional dilemmas that are at once deeply personal and universally human. Its ten hour-long films, drawing from the Ten Commandments for thematic inspiration and an overarching structure, grapple deftly with complex moral and existential questions concerning life, death, love, hate, truth, and the passage of time. Shot by nine different cinematographers, with stirring music by Zbigniew Preisner and compelling performances from established and unknown actors alike, Dekalog arrestingly explores the unknowable forces that shape our lives. Also available are the longer theatrical versions of the series’ fifth and sixth films: A Short Film About Killing and A Short Film About Love. [Janus Films]",572,,100.0,13,Universal acclaim,78.0,162.0,Generally favorable,"Telewizja Polska (TVP),Zespol Filmowy ""Tor"",Sender Freies Berlin (SFB),Janus Film,Facets Multimedia Distribution,Telewizja Polska (TVP) - I Program,ARTE,Multimedia San Paolo S.r.l.,New Yorker Films,The Criterion Collection,Umbrella Entertainment,Warner Bros.,absolut MEDIEN",Krzysztof Kieslowski,"Krzysztof Kieslowski,Krzysztof Piesiewicz","Artur Barcis,Olgierd Lukaszewicz,Olaf Lubaszenko,Aleksander Bardini,Krystyna Janda,Piotr Machalica,Jan Tesarz,Stanislaw Gawlik,Krzysztof Kumor,Katarzyna Piwowarczyk,Maciej Szary,Henryk Baranowski,Jerzy Stuhr,Daniel Olbrychski,Grazyna Szapolowska,Adrianna Biedrzynska,Miroslaw Baka,Anna Polony,Ewa Blaszczyk,Maria Koscialkowska"
2000521589,The Leopard (re-release),2004-08-13,PG,"Drama,History","Set in Sicily in 1860, Luchino Visconti's spectacular 1963 adaptation of Giuseppe di Lampedusa's international bestseller is one of the cinema's greatest evocations of the past, achingly depicting the passing of an ancient order. (Film Forum)",187,Luchino Visconti's Enduring Romantic Adventure,100.0,12,Universal acclaim,79.0,99.0,Generally favorable,"Titanus,Société Nouvelle Pathé Cinéma,Société Générale de Cinématographie (S.G.C.),Twentieth Century Fox Film Corporation,Twentieth Century Fox,Titanus,Twentieth Century Fox Film Company,Centfox-Film,Compagnie Française de Distribution Cinématographique (CFDC),Hispano Foxfilms S.A.E.,Incei Film,Pathé Consortium Cinéma,Riama Film,Skouras Films,20th Century Fox Argentina,Fox Films,Twentieth Century Fox,Twentieth Century-Fox,Pathé Consortium Cinéma,Centrala Wynajmu Filmów,American Broadcasting Company (ABC),Twentieth Century Fox,Mainostelevisio (MTV3),Fox Columbia Film Distributors,Fox Films - Europa Vision,Przedsiebiorstwo Dystrybucji Filmów,M6,TV3,Ciné Libre,Nelonen,Medusa Home Entertainment,1More Film,Crest International,A-Film Home Entertainment,BFI Video,Koch Media,Madman Entertainment,Madman Entertainment,The Criterion Collection,Versátil Home Vídeo,Seven Films,Renacimiento,British Film Institute (BFI),Atlantic Film,Cineteca,Films sans Frontières,Yleisradio (YLE),C8,Les Acacias,Nexo Digital,Radio Films S.A.E. S.A.,De Agostini,Epoca,L'Unitá Video,Medusa Home Entertainment,Mondadori Video,NHK Kyôiku,NHK-BS2,The Criterion Collection,Titanus - Creazione Home Video,Tocantins",Luchino Visconti,"Giuseppe Tomasi di Lampedusa,Suso Cecchi D'Amico,Pasquale Festa Campanile,Enrico Medioli,Massimo Franciosa,Luchino Visconti","Burt Lancaster,Alain Delon,Claudia Cardinale,Paolo Stoppa,Rina Morelli,Romolo Valli,Terence Hill,Pierre Clémenti,Lucilla Morlacchi,Giuliano Gemma,Ida Galli,Ottavia Piccolo,Carlo Valenzano,Brook Fuller,Anna Maria Bottini,Lola Braccini,Marino Masé,Howard Nelson Rubien,Tina Lattanzi,Marcella Rovena"
2000548059,Rear Window,1954-09-01,TV-PG,"Drama,Mystery,Thriller",A wheelchair-bound photographer spies on his neighbours from his apartment window and becomes convinced one of them has committed murder.,112,In deadly danger...because they saw too much!,100.0,18,Universal acclaim,87.0,626.0,Universal acclaim,"Alfred J. Hitchcock Productions,Paramount Pictures,Paramount British Pictures,Film AB Paramount,Les Films Paramount,Les Films Paramount,Paramount Films de España,Paramount Films of Argentina,Paramount Films of Italy,Paramount Pictures Japan,Paramount-Film,Paramount-Film,Paramount-Films,National Broadcasting Company (NBC),CIC Video,CIC-Taft Home Video,MCA Videocassette,Universal Pictures,MCA Television,Cinema International Corporation (CIC),Nova Film,United International Pictures (UIP),United International Pictures (UIP),United International Pictures (UIP),United International Pictures (UIP),CIC Video,CIC-Taft Home Video,Esselte Video,MCA Home Video,MCA Home Video,Canal+,MCA Home Video,MCA Home Video,MCA Home Video,Rai 1,TF1,Mainostelevisio (MTV3),MCA/Universal Home Video,MCA/Universal Home Video,TV3,CIC Video,Yleisradio (YLE),Universal Pictures Video,Universal Studios Home Video,Universal Studios Home Video,USA Films,Universal Studios Home Video,Universal Studios Home Video,Universal Pictures Finland,Universal Pictures Video,Universal Pictures Video,Universal Studios Home Video,Universal Studios Home Video,Universal Studios Home Video,Victor Entertainment,Universal Pictures,Universal Pictures Video,Universal Studios Home Video,Universal Studios Home Video,Universal Studios Home Video,Universal Pictures Video,Universal Pictures Video,Seven Films,Universal Pictures Home Entertainment (UPHE),Universal Pictures Home Entertainment (UPHE),Ava,Universal Pictures Home Entertainment (UPHE),Universal Pictures Home Entertainment (UPHE),Universal Pictures Finland,Universal Pictures Home Entertainment (UPHE),Fathom Events,Universal Pictures Home Entertainment (UPHE),Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Studio Distribution Services (SDS),Studio Distribution Services (SDS),The Criterion Channel,Universal Pictures Home Entertainment (UPHE),Universal Pictures Home Entertainment (UPHE),Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Summer Classics,ARTE,France Télévisions,NBC Universal Television Distribution,CIC Vídeo,Epoca,Time-Life Video",Alfred Hitchcock,"John Michael Hayes,Cornell Woolrich","James Stewart,Grace Kelly,Wendell Corey,Thelma Ritter,Raymond Burr,Judith Evelyn,Ross Bagdasarian,Georgine Darcy,Sara Berner,Frank Cady,Jesslyn Fax,Rand Harper,Irene Winston,Havis Davenport,Jerry Antes,Barbara Bailey,Benny Bartlett,Nick Borgani,Sue Casey,Iphigenie Castiglioni"
2000542176,Boyhood,2014-07-11,TV-14,Drama,"Filmed over 12 years with the same cast, Richard Linklater's Boyhood is a groundbreaking story of growing up as seen through the eyes of a child named Mason (Ellar Coltrane), who literally grows up on screen before our eyes. Starring Ethan Hawke and Patricia Arquette as Mason's parents and newcomer Lorelei Linklater as his sister Samantha, Boyhood charts the rocky terrain of childhood like no other film has before and is both a nostalgic time capsule of the recent past and an ode to growing up and parenting. [IFC Films]",165,12 years in the making,100.0,50,Universal acclaim,76.0,2650.0,Generally favorable,"IFC Productions,Detour Filmproduction,IFC Films,Diaphana Distribution,Lumière,Lumière,Toho,Toho-Towa,United International Pictures (UIP),United International Pictures (UIP),United International Pictures (UIP),United International Pictures,Universal Pictures International (UPI),Universal Pictures International (UPI),Universal Pictures,Canvas,Feelgood Entertainment,Film1,ITVX,Lumière Home Entertainment,Lumière Home Entertainment,NBCUniversal Entertainment,NOS Audiovisuais,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Pluto TV,Showtime Networks,The Criterion Channel,The Criterion Collection,Universal Home Entertainment,Universal Home Entertainment,Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Vrijzinnig Protestantse Radio Omroep (VPRO),Finland Finish Austin",Richard Linklater,Richard Linklater,"Ellar Coltrane,Patricia Arquette,Ethan Hawke,Elijah Smith,Lorelei Linklater,Steven Chester Prince,Bonnie Cross,Sydney Orta,Libby Villari,Marco Perella,Jamie Howard,Andrew Villarreal,Shane Graham,Tess Allen,Ryan Power,Sharee Fowler,Mark Finn,Charlie Sexton,Byron Jenkins,Holly Moore"
2000545507,Three Colors: Red,1994-11-23,R,"Drama,Mystery,Romance","Krzysztof Kieslowski closes his Three Colors trilogy in grand fashion, with an incandescent meditation on fate and chance, starring Irène Jacob as a sweet-souled yet somber runway model in Geneva whose life dramatically intersects with that of a bitter retired judge, played by Jean-Louis Trintignant. Meanwhile, just down the street, a seemingly unrelated story of jealousy and betrayal unfolds. Red is an intimate look at forged connections and a splendid final statement from a remarkable filmmaker at the height of his powers. [Criterion]",99,,100.0,11,Universal acclaim,83.0,270.0,Universal acclaim,"MK2 Productions,France 3 Cinéma,CAB Productions,Zespol Filmowy ""Tor"",Canal+,Eurimages,Télévision Suisse-Romande (TSR),Office Fédéral de la Culture,CED Productions,Miramax,MK2 Diffusion,Artificial Eye,Asociace Ceských Filmových Klubu (ACFK),Film Arte,Finnkino,JMM Invest,Kuzui Enterprises,New Vision Films,Prooptiki,Summer Classics,Triangelfilm,20th Century Fox Home Entertainment,ARTE,ARTE,Alliance Video,Alliance,Arthaus,Arthaus,Concorde Home Entertainment,Emerald,Finnkino,Finnkino,Leopardo Filmes,Look Filmes,Plus Video,Prooptiki Video,Sandrews Video,The Criterion Channel,Transeuropa Video Entertainment (TVE),Versátil,Yleisradio (YLE),Ercidan",Krzysztof Kieslowski,"Krzysztof Kieslowski,Krzysztof Piesiewicz,Agnieszka Holland,Edward Zebrowski,Edward Klosinski,Marcin Latallo","Irène Jacob,Jean-Louis Trintignant,Frédérique Feder,Jean-Pierre Lorit,Samuel Le Bihan,Marion Stalens,Teco Celio,Bernard Escalon,Jean Schlegel,Elzbieta Jasinska,Paul Vermeulen,Jean-Marie Daunas,Roland Carey,Brigitte Raul,Leo Ramseyer,Nader Farman,Cécile Tanner,Anne Theurillat,Neige Dolsky,Jessica Korinek"
2000546633,Casablanca,1943-01-23,TV-PG,"Drama,Romance,War","A Casablanca, Morocco casino owner in 1941 shelters his former lover and her husband, a Czechoslovakian freedom fighter, from the Nazis.",102,Where Love Cuts as Deep as a Dagger!,100.0,18,Universal acclaim,87.0,619.0,Universal acclaim,"Warner Bros.,Warner Bros.,United Artists,Warner Brothers Pictures,Warner Bros. Pictures Mexico,Warner Bros. Pictures,Warner Bros. Pictures,Sociedade Importadora de Filmes (SIF),Warner Bros. Film,Warner Bros. Finland,Tokyu Bunka,Warner Bros. First National Films,Przedsiebiorstwo Panstwowe Film Polski,Motion Picture Export Association (MPEA),Warner Bros. Pictures,Dominant Pictures Corporation,Associated Artists Productions (AAP),Warner Bros. Pictures,United Artists,Yleisradio (YLE),United Artists Television,United Artists,Rai 1,France 3,Intervision Video,Magnetic Video,RCA (II),20th Century Fox Video,MGM/UA Entertainment Company,Warner Home Video,Warner Home Video,Warner Home Video,United International Pictures (UIP),CBS/Fox,Warner Home Video,United International Pictures (UIP),CBS/Fox,Warner Home Video,CBS/Fox,Mainostelevisio (MTV3),Turner Entertainment,MGM/UA Home Entertainment,Rai 3,Scanvideo,Warner Home Video,Turner Entertainment,MGM/UA Home Entertainment,MGM/UA Home Entertainment,TBS Superstation,Time-Life Video,The Criterion Collection,Warner Home Video,Warner Home Video,Metro-Goldwyn-Mayer (MGM),United International Pictures (UIP),United International Pictures (UIP),United International Pictures,Argentina Video Home,MGM/UA Home Entertainment,MGM/UA Home Entertainment,Varus Video,Warner Home Video,MGM/UA Home Entertainment,MGM/UA Home Entertainment,TNT,Chapel Distribution,MGM/UA Home Entertainment,Turner Classic Movies (TCM),MGM Home Entertainment,MGM Home Entertainment,Rhino Home Video,Argentina Video Home,Sandrew Metronome Distribution,Warner Home Video,Warner Home Video,Warner Home Video,Warner Home Video,Warner Home Video,Warner Home Video,Warner Home Video,Neue Visionen Filmverleih,Sandrew Metronome Distribution,Warner Home Video,Warner Home Video,Warner Home Video,Warner Home Video,Warner Home Vídeo,Warner Home Video,Warner Home Video,Warner Home Video,Warner Home Video,Warner Home Video,Park Circus,Warner Home Video,Warner Home Video,International DVD Group,Warner Home Video,Warner Home Video,Warner Home Video,Warner Home Video,Warner Home Video,Warner Home Video,Warner Home Video,Warner Home Vídeo,Eye Film Instituut,Argentina Video Home,Warner Home Video,CDI Films,Fathom Events,Emerald,Warner Home Video,Warner Home Video,Columbia TriStar Warner Filmes de Portugal,Rai Movie,Fathom Events,ITV3,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,HBO Max,Odeon,Studio Distribution Services (SDS),Studio Distribution Services (SDS),Studio Distribution Services (SDS),Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,7flix,Seven Network",Michael Curtiz,"Philip G. Epstein,Julius J. Epstein,Howard Koch,Murray Burnett,Joan Alison,Casey Robinson","Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,Conrad Veidt,Sydney Greenstreet,Peter Lorre,S.Z. Sakall,Madeleine Lebeau,Dooley Wilson,Joy Page,John Qualen,Leonid Kinskey,Curt Bois,Abdullah Abbas,Enrique Acosta,Ed Agresti,Arnet Amos,Louis V. Arco,Frank Arnold"
2000517599,The Conformist,1970-10-22,R,Drama,"Set in Rome in the 1930s, this re-release of Bernardo Bertolucci's 1970 breakthrough feature stars Jean-Louis Trintignant as a Mussolini operative sent to Paris to locate and eliminate an old professor who fled Italy when the fascists came to power. ",107,Bertolucci's Masterpiece about Sex and Politics [re-release],100.0,11,Universal acclaim,73.0,124.0,Generally favorable,"Mars Film,Marianne Productions,Maran Film,Paramount Pictures,Paramount Italiana,Cinema International Corporation (CIC),Cinema International Corporation (CIC),Cinema International Corporation (CIC),Cinema International Corporation (CIC),Cinema International Corporation (CIC),Curzon Film Distributors,Cinema International Corporation (CIC),Cinema International Corporation (CIC),Fram Film,atlas Film,Cinema International Corporation (CIC),Cinema International Corporation (CIC),Cesáreo González Producciones Cinematográficas,Suevia Films - Cesáreo González,Paramount Home Entertainment,Mainostelevisio (MTV3),TV3,Contemporary Films,Potential Films,Euro Space,Amuse Video,Argentina Video Home,Yleisradio (YLE),Paramount Home Entertainment,Paramount Home Entertainment,British Film Institute (BFI),Rosebud,Homescreen,Raro Video,Arrow Video,Kinokuniya,Future Film,Eye Film Instituut,Kino Lorber,Raro Video,Les Acacias,Weird Wave,Pidax Film,Mirada Distribution,Filmes Lusomundo,Suevia Films - Cesáreo González",Bernardo Bertolucci,"Alberto Moravia,Bernardo Bertolucci","Jean-Louis Trintignant,Stefania Sandrelli,Gastone Moschin,Enzo Tarascio,Fosco Giachetti,José Quaglio,Yvonne Sanson,Milly,Antonio Maestri,Alessandro Haber,Luciano Rossi,Massimo Sarchielli,Pierangelo Civera,Giuseppe Addobbati,Christian Aligny,Carlo Gaddi,Umberto Silvestri,Furio Pellerani,Luigi Antonio Guerra,Orso Maria Guerrini"
2000540575,Citizen Kane,1941-09-04,TV-PG,"Drama,Mystery","Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.",119,Radio's Most Dynamic Artist . . The Man At Whose Voice A Nation Trembled . . . Now the screen's most exciting NEW star ! ORSON WELLES in the picture Hollywood said he'd never make,100.0,19,Universal acclaim,83.0,918.0,Universal acclaim,"RKO Radio Pictures,Mercury Productions,RKO Radio Pictures,Paramount Pictures,Actueel Film,Art Theatre Guild (ATG),Chapel Distribution,Cine-Studio,Classics Films Distribución,Constantin Film,Filmes Lusomundo,House of Dare,I Wonder Pictures,Motion Picture Export Association (MPEA),Neue Visionen Filmverleih,New Star,RKO Distributing Corporation of Canada,RKO Pictures (Australasia),RKO Radio Films A/S,RKO Radio Films,RKO Radio Films,RKO Radio Pictures Argentina,Spentzos Films,Titanus,2ème chaîne ORTF,ARC,Argentina Video Home,Argentina Video Home,Asociace Ceských Filmových Klubu (ACFK),Atlantic Film,Buksfilm,C&C Television Corporation,Continental Home Vídeo,Cosmic Publishing,Emerald,Epoca,Epoca,Filmjuwelen,Filmjuwelen,First Trading,Future Film,GP Museum Soft,GP Museum Soft,Gerit,HBO Max,I.V.C.,I.V.C.,I.V.C.,Indies Home Entertainment,International DVD Group,Kinowelt Home Entertainment,Kinowelt Home Entertainment,MGM/UA Entertainment Company,Nippon Sports Publishing,Orustak Pictures,PSG,Pan Vision Publishing Video,Polygram Filmed Entertainment,RCA (II),RKO Home Video,Sesam Video,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,Star Entertainment,Studio Distribution Services (SDS),StudioCanal Germany,The Criterion Collection,The Criterion Collection,Thorn EMI,Tohokushinsha Film Corporation (TFC),Tone,Turner Home Entertainment,Turner Home Entertainment,Turner Home Entertainment,Turner Home Entertainment,United Artists Television,United Artists Television,Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Vértice 360,Vértice 360,Vídeo Mercury Films,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Home Video,Warner Home Video,Warner Home Video,Warner Home Video,Warner Home Video,Warner Home Video,Warner Home Video,Warner Home Video,Warner Home Video,Warner Home Video,Warner Home Video,Warner Home Video,Warner Home Video,Warner Home Video,Warner Home Vidéo,Warner Home Vídeo,Warner Home Vídeo,Yleisradio (YLE),Yleisradio (YLE),Éditions Montparnasse",Orson Welles,"Herman J. Mankiewicz,Orson Welles,John Houseman,Roger Q. Denny,Mollie Kent","Orson Welles,Joseph Cotten,Dorothy Comingore,Agnes Moorehead,Ruth Warrick,Ray Collins,Erskine Sanford,Everett Sloane,William Alland,Paul Stewart,George Coulouris,Fortunio Bonanova,Gus Schilling,Philip Van Zandt,Georgia Backus,Harry Shannon,Sonny Bupp,Buddy Swan,Don Ackerman,Loretta Agar"
2000538875,Tokyo Story,1972-03-13,Not Rated,Drama,"Yasujiro Ozu’s Tokyo Story follows an aging couple, Tomi and Sukichi, on their journey from their rural village to visit their two married children in bustling, postwar Tokyo. Their reception is disappointing: too busy to entertain them, their children send them off to a health spa. After Tomi falls ill she and Sukichi return home, while the children, grief-stricken, hasten to be with her. From a simple tale unfolds one of the greatest of all Japanese films. Starring Ozu regulars Chishu Ryu and Setsuko Hara, the film reprises one of the director’s favorite themes—that of generational conflict—in a way that is quintessentially Japanese and yet so universal in its appeal that it continues to resonate as one of cinema’s greatest masterpieces. [Janus Films]",136,"As long as life goes on, relationships between parents and children will bring boundless joy and endless grief.",100.0,19,Universal acclaim,85.0,144.0,Universal acclaim,"Shochiku,Entertain Me Productions,Shochiku,New Yorker Films,Shochiku Home Video,Shochiku Home Video,Aito Mäkinen & Co,British Film Institute (BFI),Carlotta Films,Contemporary Films,Elävän kuvan keskus,Gutek Film,Sherlock Films,Svensk Filmindustri (SF),trigon-film,trigon-film,trigon-film,3Sat,3sat,3sat,A Contracorriente Films,ARTE Mediathek,ARTE Mediathek,ARTE,ARTE,BBC Two,BBC Two,BFI Video,Buksfilm,Ciné+,DeAPlaneta,Epoca,Gutek Film,Leopardo Filmes,MTV3,Madman Entertainment,Madman Entertainment,Raro Video,Sandrew Metronome Distribution,Sandrews,Shochiku Home Video,Tartan,The Criterion Channel,The Criterion Collection,The Criterion Collection,WDR Fernsehen,Westdeutscher Rundfunk (WDR),Yleisradio (YLE),Yleisradio (YLE),trigon-film,trigon-film",Yasujirô Ozu,"Kôgo Noda,Yasujirô Ozu","Chishû Ryû,Chieko Higashiyama,Sô Yamamura,Setsuko Hara,Haruko Sugimura,Kuniko Miyake,Kyôko Kagawa,Eijirô Tôno,Nobuo Nakamura,Shirô Ôsaka,Hisao Toake,Teruko Nagaoka,Mutsuko Sakura,Toyo Takahashi,Tôru Abe,Sachiko Mitani,Zen Murase,Mitsuhiro Môri,Junko Anan,Ryôko Mizuki"
2000522083,Lawrence of Arabia (re-release),2002-09-20,Approved,"Adventure,Biography,Drama,War","The 40th anniversary re-release of David Lean's 1962 masterpiece, starring Peter O'Toole in one of the most electrifying debuts in film history.",216,A Mighty Motion Picture Of Action And Adventure!,100.0,8,Universal acclaim,86.0,465.0,Universal acclaim,"Horizon Pictures (II),Columbia Pictures,Columbia Pictures Corporation,Columbia Pictures of Canada,Columbia Film,Columbia Film-Verleih,Columbia Films,Columbia Films,Columbia International Films,Columbia Pictures Proprietary,Columbia Pictures of Argentina,Columbia Films S. A.,Kamera Film Aktieselskap,Columbia Pictures Corporation,Warner-Columbia Film,Columbia Pictures Proprietary,Columbia Pictures of Argentina,Warner-Columbia Film,American Broadcasting Company (ABC),Warner-Columbia Films,20th Century Fox Argentina,Columbia Pictures of Argentina,Warner-Columbia Film,RCA/Columbia Pictures Home Video,RCA/Columbia Pictures Home Video,RCA/Columbia Pictures Home Video,RCA/Columbia Pictures Home Video,LK-TEL Vídeo,R-Video,Videosonic,Columbia TriStar Films,RCA/Columbia Pictures Home Video,TF1,The Criterion Collection,Columbia TriStar Films Pty. Ltd.,Columbia TriStar Films,Columbia TriStar Films,Columbia-Warner Filmes de Portugal,Gaumont-Columbia-RCA (GCR),RCA / Columbia Pictures Video,RCA/Columbia Pictures Home Video,RCA/Columbia Pictures Home Video,RCA/Columbia-Hoyts Home Video,Columbia TriStar Film,RCA/Columbia Pictures International Video,Columbia TriStar Home Video,Columbia TriStar Home Video,Columbia TriStar Home Video,Columbia TriStar Home Video,RCA/Columbia Pictures Home Video,Columbia TriStar Home Video,Columbia TriStar Home Video,Mainostelevisio (MTV3),Columbia TriStar Home Video,Columbia TriStar Home Video,Columbia TriStar Home Video,Egmont Film,Columbia Tristar Television Distribution,Columbia TriStar Films Pty. Ltd.,Columbia TriStar Home Video,Columbia TriStar Home Video,Columbia TriStar Home Video,Columbia TriStar Films de Argentina,Columbia TriStar Home Video,LK-TEL,Columbia TriStar Home Video,Columbia TriStar Home Video,Bontonfilm,Columbia TriStar Home Entertainment,Columbia TriStar Home Entertainment,Columbia TriStar Home Entertainment,Columbia TriStar Home Entertainment,Columbia TriStar Home Entertainment,Columbia TriStar Home Video,Nordisk Film,Universal Pictures Finland,Columbia TriStar Home Entertainment,Columbia TriStar Home Entertainment,Columbia TriStar Home Entertainment,Columbia TriStar Home Entertainment,Columbia TriStar Home Entertainment,Nelonen,Columbia TriStar Home Entertainment,Columbia TriStar Home Entertainment,Columbia TriStar Home Entertainment,Columbia TriStar Home Entertainment,Sony Pictures España,Sony Pictures Home Entertainment,Sony Pictures España,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,Sony Pictures Releasing,Sony Pictures España,Sony Pictures Home Entertainment,Yleisradio (YLE),Fathom Events,Park Circus,Sony Pictures España,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,Universal Sony Pictures Home Entertainment Nordic,Universal Sony Pictures Home Entertainment,Park Circus,Sony Pictures España,Universal Sony Pictures Home Entertainment,Sony Pictures España,Sony Pictures Home Entertainment,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,Columbia TriStar Home Entertainment,The Criterion Collection",David Lean,"Robert Bolt,Michael Wilson","Peter O'Toole,Alec Guinness,Anthony Quinn,Jack Hawkins,Omar Sharif,José Ferrer,Anthony Quayle,Claude Rains,Arthur Kennedy,Donald Wolfit,I.S. Johar,Gamil Ratib,Michel Ray,John Dimech,Zia Mohyeddin,Howard Marion-Crawford,Jack Gwillim,Hugh Miller,John Barry,Bruce Beeby"
2000522553,The Godfather,1972-03-24,TV-14,"Crime,Drama","Francis Ford Coppola's epic features Marlon Brando in his Oscar-winning role as the patriarch of the Corleone family. Director Coppola paints a chilling portrait of the Sicilian clan's rise and near fall from power in America, masterfully balancing the story between the Corleone's family life and the ugly crime business in which they are engaged. Based on Mario Puzo's best-selling novel and featuring career-making performances by Al Pacino, James Caan and Robert Duvall, this searing and brilliant film garnered ten Academy Award nominations, and won three including Best Picture of 1972. [Paramount Pictures]",175,An offer you can't refuse.,100.0,16,Universal acclaim,93.0,4021.0,Universal acclaim,"Paramount Pictures,Albert S. Ruddy Productions,Alfran Productions,Paramount Pictures,Cinema International Corporation (CIC),Paramount Pictures UK,Cinema International Corporation (CIC),Cinema International Corporation (CIC),Cinema International Corporation (CIC),Cinema International Corporation (CIC),Cinema International Corporation (CIC),Cinema International Corporation (CIC),Cinema International Corporation (CIC),Cinema International Corporation (CIC),Cinema International Corporation (CIC),Cinema International Corporation (CIC),Cinema International Corporation (CIC),Avala-Genex,Cinema International Corporation (CIC),National Broadcasting Company (NBC),Paramount Films of India,Paramount Home Video,CIC Video,Paramount Home Video,Esselte Video,Paramount Home Video,CIC Video,Esselte Video,Paramount Home Video,Paramount Home Video,Mainostelevisio (MTV3),Paramount Home Video,CIC Victor Video,Home Video Hellas (HVH),CIC Video,Paramount Home Video,CIC Video,La Cinq,CIC Video,Paramount Home Video,Paramount Home Video,Paramount Home Video,CIC Victor Video,CIC Video,Pioneer,CIC Victor Video,CIC Video,Paramount Home Video,Paramount Home Video,Pioneer,Nelonen,Paramount Home Entertainment,Paramount Pictures Home Video,CIC Victor Video,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Victor Entertainment / CIC Victor Video,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Les Acacias,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Park Circus,Argentina Video Home,TV2 Norge,ZEE Entertainment Enterprises,CDI Films,Eye Film Instituut,ZEE Entertainment Enterprises,New Star,Park Circus,New Disc,Fox-Paramount Home Entertainment,Trifecta Entertainment and Media,Fox-Paramount Home Entertainment,VIVA,Seven Films,Paramount Channel,Paramount Home Entertainment,Universal Pictures Home Entertainment,Universal Sony Pictures Home Entertainment,Fathom Events,Universal Sony Pictures Home Entertainment,Paramount+,CDI Films,Paramount Pictures International,United International Pictures (UIP),Universal Pictures International (UPI),Paramount Home Entertainment,Kinomaniak,Argentina Video Home,Argentina Video Home,CIC Vídeo,Malofilm Home Video,Manso Video Mamobi,Prem'er Video Fil'm",Francis Ford Coppola,"Mario Puzo,Francis Ford Coppola","Marlon Brando,Al Pacino,James Caan,Diane Keaton,Richard S. Castellano,Robert Duvall,Sterling Hayden,John Marley,Richard Conte,Al Lettieri,Abe Vigoda,Talia Shire,Gianni Russo,John Cazale,Rudy Bond,Al Martino,Morgana King,Lenny Montana,John Martino,Salvatore Corsitto"
